,text_labels_D2
0,"header { page-title , search-bar } sidebar { ck-box , radio , dropdn , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-inactive , btn-active } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } }"
1,"header { page-title , search-bar } sidebar { ck-box , radio , dropdn , rating } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } }"
2,"header { page-title , search-bar } sidebar { ck-box , radio , dropdn , icons } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } }"
3,"header { page-title , search-bar } sidebar { ck-box , radio , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } }"
4,"header { page-title , search-bar } sidebar { ck-box , radio , rating , icons } canvas-header { } row { double { small-title , text , btn-red } double { small-title , text , btn-red } } row { single { small-title , text , btn-red } }"
5,"header { page-title , search-bar } sidebar { ck-box , dropdn , rating } canvas-header { } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } }"
6,"header { page-title , search-bar } sidebar { radio , icons } canvas-header { btn-active , btn-inactive } row { single { small-title , text , btn-green } }"
7,"header { page-title , search-bar } sidebar { dropdn , slider , rating } canvas-header { btn-active , btn-inactive , btn-inactive }"
8,"header { page-title } sidebar { medium-title , ck-box , dropdn , rating , icons } canvas-header { btn-inactive , btn-inactive , btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-green } }"
9,"header { page-title , search-bar } sidebar { slider } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
10,"header { page-title , search-bar } sidebar { rating } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } }"
11,"header { page-title , search-bar , cart-link } sidebar { medium-title , ck-box , radio , slider , rating } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { single { small-title , text , btn-green } }"
12,"header { page-title , search-bar , cart-link } sidebar { medium-title , ck-box , radio , icons } canvas-header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { single { small-title , text , btn-orange } }"
13,"header { page-title , search-bar , cart-link } sidebar { medium-title , radio , dropdn , slider , rating } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive , btn-inactive } row { double { small-title , text , btn-green } double { small-title , text , btn-orange } }"
14,"header { page-title , search-bar , cart-link } sidebar { medium-title , radio , rating } canvas-header { btn-inactive , btn-inactive , btn-active } row { single { small-title , text , btn-orange } }"
15,"header { page-title , search-bar , cart-link } sidebar { medium-title , radio , rating , icons } canvas-header { btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } }"
16,"header { page-title , search-bar , cart-link } sidebar { medium-title , dropdn , rating } canvas-header { btn-active , btn-inactive , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
17,"header { page-title , search-bar , cart-link } sidebar { medium-title , icons } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { single { small-title , text , btn-green } }"
18,"header { page-title , search-bar , cart-link } sidebar { ck-box , radio , dropdn , slider } canvas-header { btn-inactive , btn-active , btn-inactive , btn-inactive } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } quadruple { small-title , text , btn-orange } } row { single { small-title , text , btn-green } }"
19,"header { page-title , search-bar , cart-link } sidebar { ck-box , radio , dropdn , slider } canvas-header { btn-inactive , btn-inactive , btn-active , btn-inactive } row { quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-red } double { small-title , text , btn-green } }"
20,"header { page-title , search-bar , cart-link } sidebar { ck-box , radio , dropdn , rating } canvas-header { btn-inactive , btn-active } row { quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-green } quadruple { small-title , text , btn-red } quadruple { small-title , text , btn-orange } } row { double { small-title , text , btn-orange } double { small-title , text , btn-green } } row { single { small-title , text , btn-green } }"
